Transcribed_Text,Clean_Text,Machine_Translation,Sentiment_Label,Sentiment_Score
MAY BE WORST OF ALL  LOSS OF HOPE WATCHING THE GENERATION OF CHILDREN WHO MAY BE SET BACK UP TO A YEAR OR MORET THAED NOTE SCHOOL BECAUSEEF THE LOSS OF LEARNING IT'S THE DETAILS OF LIFE THE MATTOF  ROEST AND WE MISS THOSE DETAILS,may be worst of all loss of hope watching the generation of children who may be set back up to a year or moret thaed note school becauseef the loss of learning it's the details of life the mattof roest and we miss those details,最糟糕的可能是失去希望 看着一代孩子 可能被放回 一年或更多 节食笔记的学校 因为失去学习 失去学习 这是生活的细节,NEGATIVE,0.9998104572296143
THE BIG DETAILS ON THE SMALL MOMENTS WEDDINGS BIRTHDAYS GRADUATIONS ALL THE THINGS IT NEEDED TO HAPPEN  DIS THE FIRST DAY THE FAMILRUNIONS THE SUNDAY NIGHT RITUALS IT'S ALL AS EXACTED,the big details on the small moments weddings birthdays graduations all the things it needed to happen dis the first day the familrunions the sunday night rituals it's all as exacted,婚礼生日毕业典礼上 需要发生的所有事情 都会在第一天,POSITIVE,0.7629597783088684
A TERRIBLE CAS ON THE PSYCHE OF SO MANY OF US FOR WE ARE FUNDAMENTALLY PEOPLE WHO WANT TO BE WITHOTUS TO TALK TO A TO ANDE TO HOLD ONE ANOTHER BUT THIS VIRIS HAS KEPT US APART AND GRANDPARENTS,a terrible cas on the psyche of so many of us for we are fundamentally people who want to be withotus to talk to a to ande to hold one another but this viris has kept us apart and grandparents,"我们很多人的心理上都有一个可怕的 可怕的cas 在我们的心理上,因为我们是 从根本上来说,我们是人们 谁想成为无依无靠的人 与一个和Ande交谈 以相互拥抱,但这种暴力使我们和祖父母分离",POSITIVE,0.9808773994445801
HAVEN'T SEEN THEIR CHILDREN OR GRANDCHILDREN PARENTS HAVEN'T SEEN THEIR KIDS KIDS HAVEN'T SEEN THEIR FRIENDS THE THINGS WE USED TO DO THAT ALWAYS FILLED US WITH JOY HAVE BECOME THINGS WE COULDN' DO AND BROKE OUR HEARTS TOO OFTEN,haven't seen their children or grandchildren parents haven't seen their kids kids haven't seen their friends the things we used to do that always filled us with joy have become things we couldn' do and broke our hearts too often,从未见过他们的孩子或孙孙子 父母从未见过他们的孩子 从未见过他们的孩子 从未见过他们的朋友,POSITIVE,0.8352300524711609
WE'VE TURNED AGAINST ONE ANOTHER A MASK THE EASIEST THING TO DO TO SAVE LIVES SOMETIMES IT DIVIDES STATES PITTED AGAINST ONE ANOTHER INSTEAD OF WORKING WITH EACH OTHER VICIOUS HATE CRIMES AGAINST ASIAN AMERICANS WHO WEEN ATTACKED,we've turned against one another a mask the easiest thing to do to save lives sometimes it divides states pitted against one another instead of working with each other vicious hate crimes against asian americans who ween attacked,我们彼此对对立 却把一个最容易拯救生命的面具 变成一个最容易的面具 有时它分裂了各州 彼此纠缠 而不是相互勾结 相互勾结,NEGATIVE,0.9824583530426025
HARASSED BLAMED AND SCAPEGOADED AT THIS VERY MOMENTH SO MANY OF THEM OUR FELLOW AMERICANS THEY'RE ON THE FRONT LINES OF THIS PANDEMIC TRYING TO SAVE LIVES AND STILL STILL THE'RE ARE FORCED TO LIVE IN FEAR THOURH THEIR LIVES JUST WALKING DOWN STREETS IN,harassed blamed and scapegoaded at this very momenth so many of them our fellow americans they're on the front lines of this pandemic trying to save lives and still still the're are forced to live in fear thourh their lives just walking down streets in,"此时此刻,许多被责备和替罪羊 如此众多的美国人同胞 他们站在这一流行病的前线 试图拯救生命 仍然被迫生活在恐惧之中",NEGATIVE,0.9945672154426575
IT'S WRONG IT'S AN AMERICAN AND IT MUST STOP LOOK WE KNOW WHAT WE NEED TO DO TO BEE TIS VIRUS TELL THE TRUTH F ALL THE SCIENTIS THE SCIENCE WORK TOGETHER PUT TRUST,it's wrong it's an american and it must stop look we know what we need to do to bee tis virus tell the truth f all the scientis the science work together put trust,"这是错的,这是一个美国人 它必须停止看 看,我们必须停止看 我们知道我们需要做什么 做蜜蜂TIS病毒 告诉真相",NEGATIVE,0.9993559718132019
AN FAITH IN OUR GOVERNMENT TO FILL ITS MOST IMPORIN FUNCTION WHICH IS PROTECTING THE AMERICAN PEOPLE NO FUNCTION MORE IMPORTANT WE NEED TO REMEMBER THAT GOVERNMENT ISN'T SOME FOREIGN FORCEI ON A DISTANT CAPITAL NO IT'S US ALL OF US WE THE PEOPLE FOR YOU AND I,an faith in our government to fill its most imporin function which is protecting the american people no function more important we need to remember that government isn't some foreign forcei on a distant capital no it's us all of us we the people for you and i,相信我们的政府 来完成它最无情的功能 保护美国人民 没有更重要的功能 我们需要记住 政府不是外国军队 在遥远的首都,POSITIVE,0.793095588684082
THAT AMERICA THRIVES WHEN WEE GIVE OUR HEARTS WEN WE TURN OUR HANDS TO COME O PURNPOSE AND RIGHT NOW MY FRIENDS WE'RE DOING JUST THAT I'VE TO SAY ATS YOUR PRESENT I'M GRATEFUL TO YOU LAST SUMMER,that america thrives when wee give our hearts wen we turn our hands to come o purnpose and right now my friends we're doing just that i've to say ats your present i'm grateful to you last summer,当我们把心放在心上时 美国就会兴旺起来 我们转手来炼油 而现在我的朋友们...,POSITIVE,0.999795138835907
I WAS IN PHILADELPHIA AND I MET HER SMALL BUSINESS HONOR A WOMAN I ASKED HER I SAID WHAT DO YOU NEED MOST NEVER FORGET WHAT SHE SAID TO ME SHE SAID AND LOOKING M ME IN THE EYES SHE SAID I JST WANT THE TRUTH THE TRUTH JUST TELL ME THE,i was in philadelphia and i met her small business honor a woman i asked her i said what do you need most never forget what she said to me she said and looking m me in the eyes she said i jst want the truth the truth just tell me the,我当时在菲利亚德尔菲亚 我遇到了她的小商业荣誉 一个我问过她的女人 我说你最需要什么 永远不要忘记她对我说的话,POSITIVE,0.9975108504295349
THINK OF THAT MY FELLOW AMERICANS YOU OWE NOTHING LESS THAN THE TRUTH AND FOR ALL OF YOU ASKI WHEN THINGS WILL GET BACK TO NORMAL HERE IS THE TRUTH THE ONLY WAY TO GET OUR LIVES BACK,think of that my fellow americans you owe nothing less than the truth and for all of you aski when things will get back to normal here is the truth the only way to get our lives back,想想我的美国同胞们 你欠的不亚于真相 而对于你们所有人 当事情回到正常的时候,NEGATIVE,0.993657648563385
TO GET OUR ECONOMY BACK ONTRA IS TO BEAT THE VIRUS YOUVE BEEN HEARIG ME SAY THAT FOR WHILE I WAS RUNNING IND THE LAST FIFTY DAYS I'V BEEN PRESIDENT BUT THIS IS ONE OF THE MOST COMPLEX OPERATIONS WEV UNDER UND EVER UNDERTAKEN AS A NATION IN A LONG TIME THAT'S WHY I'M USI,to get our economy back ontra is to beat the virus youve been hearig me say that for while i was running ind the last fifty days i'v been president but this is one of the most complex operations wev under und ever undertaken as a nation in a long time that's why i'm usi,使我们的经济重新回到我们的经济 是要战胜病毒 你听到我说 在过去五十天我竞选时 我曾经是总统 但这是最复杂的行动之一,POSITIVE,0.8037104606628418
EVERY POWER I HAVE AS PRESIDENT OF THE UNITED STATES TO PUT US ON A WAR FOOTING AND GET THE JOB DONE SOUNDS LIKE HI PURBLY BUT I MEAN IT A WAR FOOTING AND THANK GOD WE'RE MAKING SOME REAL PROGRESS NOW AN MY FIRST FULL DAY IN OFFICE I OUTLINE FOR YOU A COMPREHENSIVE STRATEGY,every power i have as president of the united states to put us on a war footing and get the job done sounds like hi purbly but i mean it a war footing and thank god we're making some real progress now an my first full day in office i outline for you a comprehensive strategy,"作为美国总统,我拥有的每一个权力 都让我们处于战争地位 并且完成这个任务 听起来就像平庸的厚厚厚 但它是战争的厚厚 感谢上帝,我们正取得一些真正的进展",POSITIVE,0.9980599284172058
BEAT THIS PENDEMIC WE HAVE SPENT EVERY DAY SENSE ATTEMPTING TO CARRY IT OUT TWO MONTHS AGO THE COUNTRY THIS COUNTRY DIDN'T HAVE NEARLY ENOUGH VACCINE SUPPLY TO VACCINATE ALL OR EVER NEAR ALLL AF THE AMERICAN PUBLIC BUT SOON WE WILL WE'VE BEEN WORK,beat this pendemic we have spent every day sense attempting to carry it out two months ago the country this country didn't have nearly enough vaccine supply to vaccinate all or ever near alll af the american public but soon we will we've been work,"在两个月前,这个国家没有足够疫苗供应 来为美国公众接种所有疫苗 或近近近所有疫苗 但很快我们就会开始工作",POSITIVE,0.946864902973175
WITH VACCINE MANUFACTURERS FISER MDURNA JOHNSON AND JOHNSON TO MANUFACTURE AND PURCHAS HUNDREDE OF MILLIONS OF DOSES OF THESE THREE SAFE EFFECTIFE VACCINES AND NOW AT THE DIRECTION AND WITH THE ASSISTANCE OF MY ADMINISTRATION JOHNSON AND JOHNSON,with vaccine manufacturers fiser mdurna johnson and johnson to manufacture and purchas hundrede of millions of doses of these three safe effectife vaccines and now at the direction and with the assistance of my administration johnson and johnson,"与疫苗制造商Fiser mdurna Johnson和Johnson一起制造和采购这三种安全叶子疫苗的数以百万计的剂量,现在朝前走来,并得到我的行政部门Johnson和Johnson的协助。",POSITIVE,0.7535455822944641
IS WORKING TOGETHER WITH A COMPETITOR MURK TO SPEED UP AND INCREASE THE CAPACITY TO MANUFACTURE NEW JOHNSON AND JOHNSON VACEN WAS S ONE SHOT IN FACT JUST YESTERDAY I ANNOUNCED AND I MET WITH THE COS OF BOTH COMPANIES I ANNOUNCED OUR PLAN,is working together with a competitor murk to speed up and increase the capacity to manufacture new johnson and johnson vacen was s one shot in fact just yesterday i announced and i met with the cos of both companies i announced our plan,"昨天我宣布,我会见了两家公司的合伙人,我宣布了我们的计划。",POSITIVE,0.9890685677528381
TO BUY AN ADDITIONAL ONE HUNDRED MILLION DOSES OF JOHNSON AND JOHNSON VACKSES THESE TWO COMPANIES COMPETITORS HAVE COME TOGETHER FOR THE GOOD OF T HE NATION AND THEY SHOULD BE APPLAUDED FOR IT IS TRULY A NATIONAL EFFORT JUST LIKE WE SAW DURING WAR,to buy an additional one hundred million doses of johnson and johnson vackses these two companies competitors have come together for the good of t he nation and they should be applauded for it is truly a national effort just like we saw during war,购买另外一亿剂量的 Johnson和Johnson 吞噬这两家公司的竞争对手 为了他的国家的利益而聚集一堂 他们应该受到赞美 因为这是真正的国家努力 就像我们在战争中看到的一样,POSITIVE,0.9987545609474182
TWO NOW BECAUSE ALL THE WORK WE'VE DONE WE'LL HAVE ENOUGH VACCINE SUPPLY FOR ALL ADULTS IN AMERICA BY THE END OF MAY THAT'S MONTHS AHEAD OF SCHEDULE AND WE'RE MOBILIZING THOUSANDS OF VACCINATORS TO PUT THE VACCINE IN ONE'S ARM,two now because all the work we've done we'll have enough vaccine supply for all adults in america by the end of may that's months ahead of schedule and we're mobilizing thousands of vaccinators to put the vaccine in one's arm,因为我们所做的所有工作 都会有足够的疫苗 供所有在美国的成年人使用,NEGATIVE,0.9925675988197327
CALLING ACTIVE DUTY MILITARY PIMA RETIRED DOCTORS AND NURSES ADMINISTRATORS AND THOSE TO ADMINISTER THE SHOTS AND WE'VE BEEN CREATING MORE PLACES TO GET THE SHOTS WE'VE MADE IT POSSIBLE FOR YOU TO GET A VACCINE AND NEARLY ONE ANY ONE OF TEN,calling active duty military pima retired doctors and nurses administrators and those to administer the shots and we've been creating more places to get the shots we've made it possible for you to get a vaccine and nearly one any one of ten,我们一直在创造更多地方 来拍摄我们让你们能够获得疫苗 以及近十分之一的疫苗,NEGATIVE,0.9863078594207764
THOUSAND PHARMACIES ACROSS THE COUNTRY JUST LIKE YOU GET YOUR FLUE SHOT WE'RE ALSO WORKING WITH GOVERNORS AND MAYORS IN RED STATES AND BLUE STATES TO SET UP AND SUPPORT NEARLY SIX HUNDRED FEDERALLY SUPPORTER VACCINATION CENTERS THAT ADMINISTERS HUNDREDS OF THOUSANDS OF SHOTS PER DAY,thousand pharmacies across the country just like you get your flue shot we're also working with governors and mayors in red states and blue states to set up and support nearly six hundred federally supporter vaccination centers that administers hundreds of thousands of shots per day,全国各地的一千家药店 就像你射中你的烟道一样 我们正与红州和蓝州 的省长和市长合作 建立和支持近六百个联邦支持者疫苗接种中心,POSITIVE,0.960751473903656
YOU CAN DRIVE UP TO A STATIM OR A LARGE PARKIN LINE GET YOUR SHOT NEVER LEAVE YOUR CAR AND DRIVE HOME IN LESS THAN AN HOUR WE'VE BEEN SENDING BAC SEAS TO HUNDREDS OF COMMUNITY HEALTH CENTERS ALL ACROSS AMERICA LOCATED IN UNDERSERVED AREAS,you can drive up to a statim or a large parkin line get your shot never leave your car and drive home in less than an hour we've been sending bac seas to hundreds of community health centers all across america located in underserved areas,"你可以开车到一个Statim或一个大的公园线, 让你的镜头永远不会离开你的汽车, 开车回家不到一个小时 我们一直在向数百个社区保健中心 送上面包海, 遍布美国各地, 位于服务不足的地区。",NEGATIVE,0.9510402679443359
WE'VE BEEN DEPLORING AND WE WILL DEPLOY MORE MOBILE VEHICLES AND POP UP PLANICS TO MEET YOU WHERE YOU LIVE SO THOSE WHO ARE LEAST ABLE TO GET THE VACCINE ARE ABLE TO GET IT WE CONTINUE TO WORK ON MAKING AT HOME TESTING AVAILABLE A WE'VE BEEN FOCUSED ON SERVING PEOPLE IN THE HARDEST  COMMUNITIES OF THIS PENDEMIC,we've been deploring and we will deploy more mobile vehicles and pop up planics to meet you where you live so those who are least able to get the vaccine are able to get it we continue to work on making at home testing available a we've been focused on serving people in the hardest communities of this pendemic,"我们非常遗憾, 我们将部署更多的机动车辆 和弹出计划来满足你 在那里你住的地方满足你 因此那些最没有能力获得疫苗的人 能够获得疫苗",NEGATIVE,0.8453198671340942
BLACK LATINO NATIVE AMERICAN AND RURAL COMMUNITIESS WHAT DOES ALL THIS ADD UP TO I TOOK OFFICE FIFTY DAYS AGO ONLY EIGHT PER CENT OF AMERICANS AFTER MONCHS ONLY EIGHT PER CENT OF THOSE OVER THE AGE OF SIXTY FIVE HAD GOT IN THEIR FIRST VACCINATION,black latino native american and rural communitiess what does all this add up to i took office fifty days ago only eight per cent of americans after monchs only eight per cent of those over the age of sixty five had got in their first vaccination,美籍黑人拉蒂诺人和农村社区 这一切加起来我50天前才就职 只有8%的美国人 月经后 只有8%的美国人 超过65岁的人 第一次接种了疫苗,NEGATIVE,0.9830841422080994
TO DAY THAT NUMBERIS SIXTY FIVE PER CENT JUST FOURTEEN PER CENT OF AMERICANS OVER THE AGE OF SEVENTY FIVE FIFTY FIFTY DAYS AGO HAD GOTTEN THEIR FIRST SHOT TO DAY THAT NUMBER IS WELL OVER SEVENTY PER CENT WITH NEW GUIDANCE FROM THE CENTRES FOR DISEASE,to day that numberis sixty five per cent just fourteen per cent of americans over the age of seventy five fifty fifty days ago had gotten their first shot to day that number is well over seventy per cent with new guidance from the centres for disease,"直到今天,这一数字为65%,只有14%的75至50天前75至55岁年龄的美洲人获得首次机会,在疾病中心的新指导下,这一数字远远超过70%。",POSITIVE,0.9906387329101562
TONAL PREVENTION THE C D C THAT CAME OUT ON MONDAY IT MEANS SIMPLY THIS MILLIONS AND MILLIONS OF GRANDPARENTS  WHEN MONTHS WITHOUT BEING ABLE TO HUG THEIR GRAND KIDS CAN NOW DO SO AND THE MORE PEOPLE ARE FULLY VACCINATED THE C D WILL CONTINUE TO PROVIDE ADDITIONAL GUIDANCE,tonal prevention the c d c that came out on monday it means simply this millions and millions of grandparents when months without being able to hug their grand kids can now do so and the more people are fully vaccinated the c d will continue to provide additional guidance,"每周一的Cd c 预防 每周一的c d d c 出来, 意思就是这几百万 和几百万祖父母的祖父母 几个月后 无法拥抱他们的孙子女",POSITIVE,0.670332133769989
AND WHAT YOU CAN DO IN THE WORK PLACE PLACES OF WORSHIP WITH YOUR FRIENDS AS WELL AS TRAVEL WHEN I CAME IN THO OFFICE YOU MAY RECALL I SAID A GOL THAT MENU SAD WAS KIND OF WAY OVER THE TOP I SAID I INTENDED TO GET A HUNDRED MILLION SHOTS IN PEOPLE'S ARMS,and what you can do in the work place places of worship with your friends as well as travel when i came in tho office you may recall i said a gol that menu sad was kind of way over the top i said i intended to get a hundred million shots in people's arms,和你在工作的地方可以做什么 与你的朋友的礼拜场所 以及旅行 当我来到Tho办公室时 你还记得我说过,NEGATIVE,0.9853258728981018
MY FIRST HUNDRED DAYS IN OFFICE TO NIGHT I CAN SAY WE'RE NOT GOING TO MEET THAT GOAL WE'RE GOING TO BEAT THAT GOAL BECAUSE EVE ACTUALLY IN TRACKED TO REACH THIS GOAL OF A HUNDRED MILLION SHOTS AND ARMS ON MY SIXTIETH DAY IN OFFICE NO OTHER COUNTRY IN THE WORLD HAS DONE THIS NONE,my first hundred days in office to night i can say we're not going to meet that goal we're going to beat that goal because eve actually in tracked to reach this goal of a hundred million shots and arms on my sixtieth day in office no other country in the world has done this none,"我上任前100天到晚头100天的就职头100天,我可以说,我们不会达到这个目标,我们将战胜那个目标, 因为实际上在追踪的前夕 达到这个目标,",NEGATIVE,0.9950275421142578
I WANT TO TALK ABOUT THE NEXT STEPS WERE THINKING ABOUT FIRST TO NIGHT I'M ANNOUNCING THAT I W'LL DIRECT ALL STATES TRIBES AND TERRITORIES TO MAKE ALL ADULTS PEOPLE EIGHTEEN AND OVER ELIGIBLE TO BE VACCINATED NO LATER THAN MAY ONE LET ME SAY THAT AGAIN,i want to talk about the next steps were thinking about first to night i'm announcing that i w'll direct all states tribes and territories to make all adults people eighteen and over eligible to be vaccinated no later than may one let me say that again,我想谈谈接下来的一步......我宣布我会指示所有州 部落和领地......让所有18岁及18岁以上的成年人 有资格接种疫苗...,NEGATIVE,0.7665603756904602
ALL ADULT AMERICANS WILL BE ELIGIBLE TO GET A VACCENE NO LATER THAN MAY ONE THAT'S MUCH EARLIER TAN EXPECTED LET ME BE CLEAR THAT DOESN'T MEAN EVERYONE'S GOING TO HAVE THAT SHOT IMMEDIATELY BUT IT MEANS YOU'L BE ABLE TO GET IN LINE BEGINNING MAY ONE EVERY ADULT WILL BE ELIGIBLE TO GET THEIR,all adult americans will be eligible to get a vaccene no later than may one that's much earlier tan expected let me be clear that doesn't mean everyone's going to have that shot immediately but it means you'l be able to get in line beginning may one every adult will be eligible to get their,所有的美国成年人 都有资格 获得一个真空 时间不晚于可能一个更早的 棕色的预期 让我说清楚 这并不意味着每个人都会 立即得到那一枪,POSITIVE,0.9986475110054016
AND TO DO THIS WE'RE GOING TO GO FROM A MILLION SHOTS A DAY THAT I PROMISED IN DECEMBER BEFORE I WAS SWORN IN TO MAINTAINING BEATING OUR CURRENT PACE OF TWO MILLION SHOTS A DAY HOW PACING THE REST OF THE WORLD SECONDLY AT,and to do this we're going to go from a million shots a day that i promised in december before i was sworn in to maintaining beating our current pace of two million shots a day how pacing the rest of the world secondly at,"这样做,我们将会从一百万发子弹 每天我承诺 在12月之前,我宣誓 继续打破我们目前的速度 每天两百万发子弹",NEGATIVE,0.9778182506561279
TIME WHEN EVERY ADULT IS ELIGIBLE TO MAY WE WILL LAUNCH WITH OUR PARTNERS NEW TOOLS TO MAKE IT EASIER FOR YOU TO FIND THE VACC AND WHERE TO GET THE SHOP INCLUDING A NEW WEB SIHTE THAT WILL HELP YOU FIRST FIND THE PLACE TO GET VACCINATED AND THE ONE NEAREST YOU,time when every adult is eligible to may we will launch with our partners new tools to make it easier for you to find the vacc and where to get the shop including a new web sihte that will help you first find the place to get vaccinated and the one nearest you,"当每个成年人都有资格时,我们可以与我们的伙伴一起推出新的工具,使你更容易找到真空,并从哪里买到商店,包括一个新的网络ihte,帮助你先找到地方接种疫苗,再找到最靠近你的地方。",NEGATIVE,0.9595384001731873
NO MORE SEARCHING DAY AND NIGHT FOR AN APPOINTMENT FOR YOU AND YOUR LOVE ONES THIRDLY WITH THE PASSAGE OF THE AMERICAN RESCUE PLAN AND I THANK AGAIND THE HOUSE OF SENIFER PASSIDET AND MY ANNOUNCEMENT LAST MONTH OF A PLAN TO VACCINATE TEACHERS AND SCHOOL STAFF,no more searching day and night for an appointment for you and your love ones thirdly with the passage of the american rescue plan and i thank againd the house of senifer passidet and my announcement last month of a plan to vaccinate teachers and school staff,我再次感谢Sennifer 过敏者之家和我上个月宣布计划为教师和学校工作人员接种疫苗。,POSITIVE,0.9851080179214478
INCLUDING BUS DRIVERS WE CAN ACCELERATE MASSIVE NATION WIDE EFFORT TO REOPEN OUR SCHOOLS SAFELY AND MEET MY GOAL THAT I STATED AT THE SAME TIME ABOUT A HUNDRED MILLION SHOTS OF OPEN A MAJORITY OF K THROUGH EGHT SCHOOLS IN MY FIRST HUNDRED DAYS IN OFFICE,including bus drivers we can accelerate massive nation wide effort to reopen our schools safely and meet my goal that i stated at the same time about a hundred million shots of open a majority of k through eght schools in my first hundred days in office,"包括公共汽车司机在内,我们可以加快全国大规模努力,安全地重新开放学校,实现我的目标,即我同时指出,在我就职的最初一百天里,大约一亿张开开开通大部分学校的千亿张照片。",POSITIVE,0.992302417755127
THIS IS GOING TO BE THE NUMBER ONE PRIORITY OF MY NEW SECRETARY OF EDUCATION MAGUEL CARDONA FOUR IN THE COMING WEEKS WE WILL ISSUE FURTHER GUIDANCE ON WHAT YOU CAN AND CANNOT DO ONCE FULLY VACCINATEDT,this is going to be the number one priority of my new secretary of education maguel cardona four in the coming weeks we will issue further guidance on what you can and cannot do once fully vaccinatedt,"这将是我新任教育秘书 未来几周的头号优先事项 未来几周,四号马奎埃尔·卡多纳 将发布进一步指导",POSITIVE,0.9952014684677124
THE CONFUSION TO KEEP PEOPLE SAFE AND ENCOURAGE MORE PEOPLE TO GET VACCINATED AND FINALLY FIFTHS IT MAY BE MOST IMPORTANTLY I PROMISE I WILL DO EVERYTHING IN MY POWER I WILL NOT RELENT UNTIL WE BEAT THIS FIRES BUT I NEED YOU,the confusion to keep people safe and encourage more people to get vaccinated and finally fifths it may be most importantly i promise i will do everything in my power i will not relent until we beat this fires but i need you,为了保证人们的安全 并且鼓励更多的人接种疫苗 最后第五种可能最重要的是 我保证我会尽我所能 我绝不会松懈 直到我们击退这场火灾 但我需要你,POSITIVE,0.9974883198738098
